index,max_depth_cape,max_depth_frolic,max_depth_graz,max_depth_klaxon,max_depth_mahdism,max_depth_ochre,max_depth_pen,max_depth_portion,max_depth_scrub,max_depth_turning,status_cape,status_frolic,status_graz,status_klaxon,status_mahdism,status_ochre,status_pen,status_portion,status_scrub,status_turning,time_cape,time_frolic,time_graz,time_klaxon,time_mahdism,time_ochre,time_pen,time_portion,time_scrub,time_turning
s_split_01.smt2,5.0,46.0,5.0,46.0,19.0,19.0,2.0,5.0,2.0,5.0,unsat,unsat,unsat,unsat,unsat,unsat,sat,unsat,sat,unsat,0.15,3.19,0.12,3.23,0.76,0.78,0.02,0.12,0.02,0.12
s_split_02.smt2,3.0,10.0,3.0,10.0,10.0,10.0,1.0,3.0,1.0,3.0,unsat,unsat,unsat,unsat,unsat,unsat,sat,unsat,sat,unsat,0.04,0.14,0.05,0.18,0.14,0.18,0.02,0.04,0.01,0.04
s_split_03.smt2,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,unsat,unsat,unsat,unsat,unsat,unsat,unsat,unsat,unsat,unsat,0.12,0.1,0.12,0.12,0.1,0.12,0.12,0.1,0.1,0.1
s_split_04.smt2,13.0,14.0,2.0,14.0,13.0,13.0,2.0,2.0,2.0,13.0,unsat,unsat,sat,unsat,unsat,unsat,sat,sat,sat,unsat,0.18,0.14,0.02,0.18,0.15,0.19,0.02,0.02,0.02,0.14
s_split_05.smt2,8.0,5.0,5.0,5.0,8.0,8.0,8.0,5.0,8.0,8.0,unsat,unsat,unsat,unsat,unsat,unsat,unsat,unsat,unsat,unsat,0.15,0.08,0.08,0.1,0.12,0.12,0.14,0.06,0.1,0.12
s_split_06.smt2,,4.0,4.0,4.0,,,7.0,4.0,7.0,,timeout,unsat,unsat,unsat,timeout,timeout,unsat,unsat,unsat,timeout,299.98,0.06,0.07,0.08,299.99,299.98,0.22,0.07,0.17,299.99
s_split_07.smt2,15.0,15.0,5.0,15.0,15.0,15.0,5.0,5.0,5.0,15.0,unsat,unsat,unsat,unsat,unsat,unsat,unsat,unsat,unsat,unsat,0.26,0.23,0.09,0.26,0.23,0.29,0.08,0.07,0.06,0.24
s_split_08.smt2,17.0,17.0,5.0,17.0,17.0,17.0,11.0,5.0,11.0,17.0,unsat,unsat,unsat,unsat,unsat,unsat,unsat,unsat,unsat,unsat,1.49,1.32,0.21,1.26,1.55,1.5,0.65,0.27,0.7,1.55
s_split_09.smt2,,,,,,,2.0,,2.0,,timeout,timeout,timeout,timeout,timeout,timeout,sat,timeout,sat,timeout,299.98,299.99,299.98,299.98,299.99,299.98,0.02,299.99,0.02,299.99
s_split_10.smt2,34.0,54.0,34.0,54.0,,,2.0,34.0,2.0,34.0,unsat,unsat,unsat,unsat,timeout,timeout,sat,unsat,sat,unsat,37.16,26.12,37.14,25.88,299.99,299.98,0.02,37.99,0.02,38.59
